"Folder","Number","Title","Kind","Status","Bytes","File","Source","Error"
"Public Coefficient Matters A Practical Differential Fault Attack on ML-DSA and HAETAE","11","Forging Dilithium and Falcon Signatures by Single Fault Injection","paper","collected","191356","Public Coefficient Matters A Practical Differential Fault Attack on ML-DSA and HAETAE/[11] Forging Dilithium and Falcon Signatures by Single Fault Injection.pdf","https://eprint.iacr.org/2025/2029.pdf",""
"Public Coefficient Matters A Practical Differential Fault Attack on ML-DSA and HAETAE","12","Exploiting Determinism in Lattice-Based Signatures - Practical Fault Attacks on pqm4 Implementations of NIST Candidates","paper","collected","2413487","Public Coefficient Matters A Practical Differential Fault Attack on ML-DSA and HAETAE/[12] Exploiting Determinism in Lattice-Based Signatures - Practical Fault Attacks on pqm4 Implementations of NIST Candidates.pdf","https://eprint.iacr.org/2019/769.pdf",""
"Public Coefficient Matters A Practical Differential Fault Attack on ML-DSA and HAETAE","13","From MLWE to RLWE - A Differential Fault Attack on Randomized and Deterministic Dilithium","paper","collected","729133","Public Coefficient Matters A Practical Differential Fault Attack on ML-DSA and HAETAE/[13] From MLWE to RLWE - A Differential Fault Attack on Randomized and Deterministic Dilithium.pdf","",""
"Public Coefficient Matters A Practical Differential Fault Attack on ML-DSA and HAETAE","14","Diverse Fault Attacks on Dilithium and Variant Implementation - Skipping, Aborting and Zeroing","paper","collected","8023048","Public Coefficient Matters A Practical Differential Fault Attack on ML-DSA and HAETAE/[14] Diverse Fault Attacks on Dilithium and Variant Implementation - Skipping, Aborting and Zeroing.pdf","http://xplorestaging.ieee.org/ielx8/11354467/11354567/11354962.pdf?arnumber=11354962",""
"Public Coefficient Matters A Practical Differential Fault Attack on ML-DSA and HAETAE","15","Correction Fault Attacks on Randomized CRYSTALS-Dilithium","paper","collected","1049112","Public Coefficient Matters A Practical Differential Fault Attack on ML-DSA and HAETAE/[15] Correction Fault Attacks on Randomized CRYSTALS-Dilithium.pdf","",""
"Public Coefficient Matters A Practical Differential Fault Attack on ML-DSA and HAETAE","16","Signature Correction Attack on Dilithium Signature Scheme","paper","collected","593427","Public Coefficient Matters A Practical Differential Fault Attack on ML-DSA and HAETAE/[16] Signature Correction Attack on Dilithium Signature Scheme.pdf","",""
"Public Coefficient Matters A Practical Differential Fault Attack on ML-DSA and HAETAE","17","Fiddling the Twiddle Constants - Fault Injection Analysis of the Number Theoretic Transform","paper","collected","13231762","Public Coefficient Matters A Practical Differential Fault Attack on ML-DSA and HAETAE/[17] Fiddling the Twiddle Constants - Fault Injection Analysis of the Number Theoretic Transform.pdf","",""
"Public Coefficient Matters A Practical Differential Fault Attack on ML-DSA and HAETAE","18","When Randomness Is Not Random - Practical Fault Attack on Post-Quantum Lattice Standards","paper","collected","2063106","Public Coefficient Matters A Practical Differential Fault Attack on ML-DSA and HAETAE/[18] When Randomness Is Not Random - Practical Fault Attack on Post-Quantum Lattice Standards.pdf","https://eprint.iacr.org/2025/2009.pdf",""
"Public Coefficient Matters A Practical Differential Fault Attack on ML-DSA and HAETAE","19","Mind the Faulty Keccak - A Practical Fault Injection Attack Scheme Applied to All Phases of ML-KEM and ML-DSA","paper","collected","4373088","Public Coefficient Matters A Practical Differential Fault Attack on ML-DSA and HAETAE/[19] Mind the Faulty Keccak - A Practical Fault Injection Attack Scheme Applied to All Phases of ML-KEM and ML-DSA.pdf","",""
"Public Coefficient Matters A Practical Differential Fault Attack on ML-DSA and HAETAE","20","Differential Fault Attacks on Deterministic Lattice Signatures","paper","collected","628480","Public Coefficient Matters A Practical Differential Fault Attack on ML-DSA and HAETAE/[20] Differential Fault Attacks on Deterministic Lattice Signatures.pdf","",""
"Public Coefficient Matters A Practical Differential Fault Attack on ML-DSA and HAETAE","21","CRYSTALS-Dilithium - A Lattice-Based Digital Signature Scheme","paper","collected","768625","Public Coefficient Matters A Practical Differential Fault Attack on ML-DSA and HAETAE/[21] CRYSTALS-Dilithium - A Lattice-Based Digital Signature Scheme.pdf","",""
"Public Coefficient Matters A Practical Differential Fault Attack on ML-DSA and HAETAE","22","Fault Injection Attacks on Cryptographic Devices - Theory, Practice, and Countermeasures","paper","collected","1117199","Public Coefficient Matters A Practical Differential Fault Attack on ML-DSA and HAETAE/[22] Fault Injection Attacks on Cryptographic Devices - Theory, Practice, and Countermeasures.pdf","https://www.ecs.umass.edu/ece/koren/research/bbkn-IEEEP-2012.pdf",""
"Public Coefficient Matters A Practical Differential Fault Attack on ML-DSA and HAETAE","23","Fault Attacks on RSA with CRT - Concrete Results and Practical Countermeasures","paper","collected","342459","Public Coefficient Matters A Practical Differential Fault Attack on ML-DSA and HAETAE/[23] Fault Attacks on RSA with CRT - Concrete Results and Practical Countermeasures.pdf","",""
"Public Coefficient Matters A Practical Differential Fault Attack on ML-DSA and HAETAE","24","How Practical Are Fault Injection Attacks, Really","paper","collected","1835499","Public Coefficient Matters A Practical Differential Fault Attack on ML-DSA and HAETAE/[24] How Practical Are Fault Injection Attacks, Really.pdf","https://ieeexplore.ieee.org/ielx7/6287639/9668973/09930514.pdf",""
"Public Coefficient Matters A Practical Differential Fault Attack on ML-DSA and HAETAE","25","An In-Depth and Black-Box Characterization of the Effects of Clock Glitches on 8-Bit MCUs","paper","collected","787845","Public Coefficient Matters A Practical Differential Fault Attack on ML-DSA and HAETAE/[25] An In-Depth and Black-Box Characterization of the Effects of Clock Glitches on 8-Bit MCUs.pdf","https://cosicdatabase.esat.kuleuven.be/backend/publications/files/conferencepaper/2059",""
"Public Coefficient Matters A Practical Differential Fault Attack on ML-DSA and HAETAE","26","Electromagnetic Fault Injection - Towards a Fault Model on a 32-Bit Microcontroller","paper","collected","408936","Public Coefficient Matters A Practical Differential Fault Attack on ML-DSA and HAETAE/[26] Electromagnetic Fault Injection - Towards a Fault Model on a 32-Bit Microcontroller.pdf","",""
"Public Coefficient Matters A Practical Differential Fault Attack on ML-DSA and HAETAE","27","Optical Fault Induction Attacks","paper","collected","518301","Public Coefficient Matters A Practical Differential Fault Attack on ML-DSA and HAETAE/[27] Optical Fault Induction Attacks.pdf","https://www.cs.jhu.edu/~astubble/600.412/s-c-papers/fault.pdf | https://www.iacr.org/archive/ches2002/25230002/25230002.pdf",""
"Public Coefficient Matters A Practical Differential Fault Attack on ML-DSA and HAETAE","28","Investigation of Timing Constraints Violation as a Fault Injection Means","paper","collected","115482","Public Coefficient Matters A Practical Differential Fault Attack on ML-DSA and HAETAE/[28] Investigation of Timing Constraints Violation as a Fault Injection Means.pdf","ZUS12_DCIS_Investigation_of_timing_constraints_violation_as_a_fault_injection_means.pdf",""
"Public Coefficient Matters A Practical Differential Fault Attack on ML-DSA and HAETAE","29","On the Effects of Clock and Power Supply Tampering on Two Microcontroller Platforms","paper","collected","561863","Public Coefficient Matters A Practical Differential Fault Attack on ML-DSA and HAETAE/[29] On the Effects of Clock and Power Supply Tampering on Two Microcontroller Platforms.pdf","https://tugraz.elsevierpure.com/files/87175152/CameraReady.pdf",""
"Public Coefficient Matters A Practical Differential Fault Attack on ML-DSA and HAETAE","30","Glitching Demystified - Analyzing Control-Flow-Based Glitching Attacks and Defenses","paper","collected","347770","Public Coefficient Matters A Practical Differential Fault Attack on ML-DSA and HAETAE/[30] Glitching Demystified - Analyzing Control-Flow-Based Glitching Attacks and Defenses.pdf","",""
"Public Coefficient Matters A Practical Differential Fault Attack on ML-DSA and HAETAE","31","On a Low Cost Fault Injection Framework for Security Assessment of Cyber-Physical Systems - Clock Glitch Attacks","paper","collected","707804","Public Coefficient Matters A Practical Differential Fault Attack on ML-DSA and HAETAE/[31] On a Low Cost Fault Injection Framework for Security Assessment of Cyber-Physical Systems - Clock Glitch Attacks.pdf","",""
"Public Coefficient Matters A Practical Differential Fault Attack on ML-DSA and HAETAE","32","An On-Chip Glitchy-Clock Generator for Testing Fault Injection Attacks","paper","collected","1277547","Public Coefficient Matters A Practical Differential Fault Attack on ML-DSA and HAETAE/[32] An On-Chip Glitchy-Clock Generator for Testing Fault Injection Attacks.pdf","",""
"Public Coefficient Matters A Practical Differential Fault Attack on ML-DSA and HAETAE","33","Genetic Algorithm-Based Electromagnetic Fault Injection","paper","collected","1563383","Public Coefficient Matters A Practical Differential Fault Attack on ML-DSA and HAETAE/[33] Genetic Algorithm-Based Electromagnetic Fault Injection.pdf","https://www.nielssamwel.nl/papers/fdtc2018_memfaults.pdf",""
"Public Coefficient Matters A Practical Differential Fault Attack on ML-DSA and HAETAE","34","Fast Calibration of Fault Injection Equipment with Hyperparameter Optimization Techniques","paper","collected","841974","Public Coefficient Matters A Practical Differential Fault Attack on ML-DSA and HAETAE/[34] Fast Calibration of Fault Injection Equipment with Hyperparameter Optimization Techniques.pdf","",""
"Public Coefficient Matters A Practical Differential Fault Attack on ML-DSA and HAETAE","35","PQM4 - Post-Quantum Crypto Library for the ARM Cortex-M4","software repository","not_applicable","0","","","Reference is not a paper/PDF"
"Public Coefficient Matters A Practical Differential Fault Attack on ML-DSA and HAETAE","36","Masking Dilithium - Efficient Implementation and Side-Channel Evaluation","paper","collected","954003","Public Coefficient Matters A Practical Differential Fault Attack on ML-DSA and HAETAE/[36] Masking Dilithium - Efficient Implementation and Side-Channel Evaluation.pdf","https://eprint.iacr.org/2019/394.pdf",""
"Public Coefficient Matters A Practical Differential Fault Attack on ML-DSA and HAETAE","37","Improved Gadgets for the High-Order Masking of Dilithium","paper","collected","829859","Public Coefficient Matters A Practical Differential Fault Attack on ML-DSA and HAETAE/[37] Improved Gadgets for the High-Order Masking of Dilithium.pdf","",""
"양자 내성 암호 HAETAE에 대한 오류 주입 공격 및 대응 기법","1","Module-Lattice-Based Digital Signature Standard (FIPS 204)","standard","collected","3291746","양자 내성 암호 HAETAE에 대한 오류 주입 공격 및 대응 기법/[1] Module-Lattice-Based Digital Signature Standard (FIPS 204).pdf","https://nvlpubs.nist.gov/nistpubs/FIPS/NIST.FIPS.204.pdf",""
"양자 내성 암호 HAETAE에 대한 오류 주입 공격 및 대응 기법","2","HAETAE - Shorter Lattice-Based Fiat-Shamir Signatures","paper","collected","929165","양자 내성 암호 HAETAE에 대한 오류 주입 공격 및 대응 기법/[2] HAETAE - Shorter Lattice-Based Fiat-Shamir Signatures.pdf","https://tches.iacr.org/index.php/TCHES/article/download/11669/11189",""
"양자 내성 암호 HAETAE에 대한 오류 주입 공격 및 대응 기법","3","Design and Analysis of Clock Fault Injection for AES","paper","collected","452386","양자 내성 암호 HAETAE에 대한 오류 주입 공격 및 대응 기법/[3] Design and Analysis of Clock Fault Injection for AES.pdf","",""
"양자 내성 암호 HAETAE에 대한 오류 주입 공격 및 대응 기법","4","Fault Injection Using Crowbars on Embedded Systems","paper","collected","2486632","양자 내성 암호 HAETAE에 대한 오류 주입 공격 및 대응 기법/[4] Fault Injection Using Crowbars on Embedded Systems.pdf","https://eprint.iacr.org/2016/810.pdf",""
"양자 내성 암호 HAETAE에 대한 오류 주입 공격 및 대응 기법","5","Optical Fault Induction Attacks","paper","collected","518301","양자 내성 암호 HAETAE에 대한 오류 주입 공격 및 대응 기법/[5] Optical Fault Induction Attacks.pdf","https://www.cs.jhu.edu/~astubble/600.412/s-c-papers/fault.pdf | https://www.iacr.org/archive/ches2002/25230002/25230002.pdf",""
"양자 내성 암호 HAETAE에 대한 오류 주입 공격 및 대응 기법","6","Electromagnetic Fault Injection - How Faults Occur","paper","collected","1061266","양자 내성 암호 HAETAE에 대한 오류 주입 공격 및 대응 기법/[6] Electromagnetic Fault Injection - How Faults Occur.pdf","https://hal-lirmm.ccsd.cnrs.fr/lirmm-02328109/document",""
"양자 내성 암호 HAETAE에 대한 오류 주입 공격 및 대응 기법","7","On the Importance of Checking Cryptographic Protocols for Faults","paper","collected","952221","양자 내성 암호 HAETAE에 대한 오류 주입 공격 및 대응 기법/[7] On the Importance of Checking Cryptographic Protocols for Faults.pdf","https://www.iacr.org/archive/eurocrypt1997/12330037/12330037.pdf",""
"양자 내성 암호 HAETAE에 대한 오류 주입 공격 및 대응 기법","8","SoK - Parameterization of Fault Adversary Models Connecting Theory and Practice","paper","collected","438145","양자 내성 암호 HAETAE에 대한 오류 주입 공격 및 대응 기법/[8] SoK - Parameterization of Fault Adversary Models Connecting Theory and Practice.pdf","https://lirias.kuleuven.be/retrieve/751e2c78-56a4-435b-b7af-e4d8acd93111",""
"양자 내성 암호 HAETAE에 대한 오류 주입 공격 및 대응 기법","9","From MLWE to RLWE - A Differential Fault Attack on Randomized and Deterministic Dilithium","paper","collected","729133","양자 내성 암호 HAETAE에 대한 오류 주입 공격 및 대응 기법/[9] From MLWE to RLWE A Differential Fault Attack on Randomized and Deterministic Dilithium.pdf","",""
"양자 내성 암호 HAETAE에 대한 오류 주입 공격 및 대응 기법","10","Correction Fault Attacks on Randomized CRYSTALS-Dilithium","paper","collected","1049112","양자 내성 암호 HAETAE에 대한 오류 주입 공격 및 대응 기법/[10] Correction Fault Attacks on Randomized CRYSTALS-Dilithium.pdf","",""
"양자 내성 암호 HAETAE에 대한 오류 주입 공격 및 대응 기법","11","Fiddling the Twiddle Constants - Fault Injection Analysis of the Number Theoretic Transform","paper","collected","2826613","양자 내성 암호 HAETAE에 대한 오류 주입 공격 및 대응 기법/[11] Fiddling the Twiddle Constants - Fault Injection Analysis of the Number Theoretic Transform.pdf","",""
"양자 내성 암호 HAETAE에 대한 오류 주입 공격 및 대응 기법","12","A Single-Trace Fault Injection Attack on Hedged Module Lattice Digital Signature Algorithm (ML-DSA)","paper","collected","422205","양자 내성 암호 HAETAE에 대한 오류 주입 공격 및 대응 기법/[12] A Single-Trace Fault Injection Attack on Hedged Module Lattice Digital Signature Algorithm (ML-DSA).pdf","",""
"양자 내성 암호 HAETAE에 대한 오류 주입 공격 및 대응 기법","13","Differential Fault Analysis on AES","paper","collected","202658","양자 내성 암호 HAETAE에 대한 오류 주입 공격 및 대응 기법/[13] Differential Fault Analysis on AES.pdf","https://arxiv.org/pdf/cs/0301020",""
"양자 내성 암호 HAETAE에 대한 오류 주입 공격 및 대응 기법","14","Differential Fault Analysis of the Advanced Encryption Standard Using a Single Fault","paper","collected","203950","양자 내성 암호 HAETAE에 대한 오류 주입 공격 및 대응 기법/[14] Differential Fault Analysis of the Advanced Encryption Standard Using a Single Fault.pdf","https://eprint.iacr.org/2009/575.pdf",""
"양자 내성 암호 HAETAE에 대한 오류 주입 공격 및 대응 기법","15","Differential Fault Analysis of ARIA in Multi-Byte Fault Models","paper","collected","553607","양자 내성 암호 HAETAE에 대한 오류 주입 공격 및 대응 기법/[15] Differential Fault Analysis of ARIA in Multi-Byte Fault Models.pdf","https://doi.org/10.1016/j.jss.2012.04.009",""
"양자 내성 암호 HAETAE에 대한 오류 주입 공격 및 대응 기법","16","Memo on RSA Signature Generation in the Presence of Faults","report","collected","95604","양자 내성 암호 HAETAE에 대한 오류 주입 공격 및 대응 기법/[16] Memo on RSA Signature Generation in the Presence of Faults.pdf","https://infoscience.epfl.ch/record/164524/files/nscan20.PDF",""
"양자 내성 암호 HAETAE에 대한 오류 주입 공격 및 대응 기법","17","Differential Fault Attacks on Elliptic Curve Cryptosystems","paper","collected","231320","양자 내성 암호 HAETAE에 대한 오류 주입 공격 및 대응 기법/[17] Differential Fault Attacks on Elliptic Curve Cryptosystems.pdf","https://www.iacr.org/archive/crypto2000/18800131/18800131.pdf",""
"양자 내성 암호 HAETAE에 대한 오류 주입 공격 및 대응 기법","18","Elliptic Curve Cryptosystems in the Presence of Permanent and Transient Faults","paper","collected","134831","양자 내성 암호 HAETAE에 대한 오류 주입 공격 및 대응 기법/[18] Elliptic Curve Cryptosystems in the Presence of Permanent and Transient Faults.pdf","https://marcjoye.github.io/papers/CJ05eccfaults.pdf",""
"양자 내성 암호 HAETAE에 대한 오류 주입 공격 및 대응 기법","19","Checking Before Output May Not Be Enough Against Fault-Based Cryptanalysis","paper","collected","143027","양자 내성 암호 HAETAE에 대한 오류 주입 공격 및 대응 기법/[19] Checking Before Output May Not Be Enough Against Fault-Based Cryptanalysis.pdf","https://marcjoye.github.io/papers/YJ00chkb.pdf",""
"양자 내성 암호 HAETAE에 대한 오류 주입 공격 및 대응 기법","20","Fault Based Collision Attacks on AES","paper","collected","521112","양자 내성 암호 HAETAE에 대한 오류 주입 공격 및 대응 기법/[20] Fault Based Collision Attacks on AES.pdf","https://link.springer.com/content/pdf/10.1007/11889700_11.pdf",""
"양자 내성 암호 HAETAE에 대한 오류 주입 공격 및 대응 기법","21","Secret External Encodings Do Not Prevent Transient Fault Analysis","paper","collected","345405","양자 내성 암호 HAETAE에 대한 오류 주입 공격 및 대응 기법/[21] Secret External Encodings Do Not Prevent Transient Fault Analysis.pdf","https://www.iacr.org/archive/ches2007/47270181/47270181.pdf",""
"양자 내성 암호 HAETAE에 대한 오류 주입 공격 및 대응 기법","22","Fault Injection as an Oscilloscope - Fault Correlation Analysis","paper","collected","1609893","양자 내성 암호 HAETAE에 대한 오류 주입 공격 및 대응 기법/[22] Fault Injection as an Oscilloscope - Fault Correlation Analysis.pdf","https://tches.iacr.org/index.php/TCHES/article/download/8732/8332",""
"양자 내성 암호 HAETAE에 대한 오류 주입 공격 및 대응 기법","23","Countermeasures Against Fault Injection Attacks in Processors - A Review","paper","collected","275456","양자 내성 암호 HAETAE에 대한 오류 주입 공격 및 대응 기법/[23] Countermeasures Against Fault Injection Attacks in Processors - A Review.pdf","https://doi.org/10.3390/info16040293",""
"양자 내성 암호 HAETAE에 대한 오류 주입 공격 및 대응 기법","24","Low-Cost Software Countermeasures Against Fault Attacks - Implementation and Performances Trade Offs","paper","collected","139123","양자 내성 암호 HAETAE에 대한 오류 주입 공격 및 대응 기법/[24] Low-Cost Software Countermeasures Against Fault Attacks - Implementation and Performances Trade Offs.pdf","https://www.ecs.umass.edu/ece/koren/research/bpbk-WESS-2010.pdf",""
